,branch,address,city,zip code,ytd,year,month,circulation_count
74,West Lawn,4020 W. 63rd St.,Chicago,60629.0,94922,2011,january,7606
75,West Pullman,830 W. 119th St.,Chicago,60643.0,40144,2011,january,3312
76,West Town,1625 W. Chicago Ave.,Chicago,60622.0,122088,2011,january,9030
77,"Whitney M. Young, Jr.",7901 S. King Dr.,Chicago,60619.0,37399,2011,january,2588
78,Woodson Regional,9525 S. Halsted St.,Chicago,60628.0,125056,2011,january,10564
79,Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652.0,42257,2011,january,3062
83,Albany Park,,,,135858,2016,january,10905
84,Altgeld,,,,5864,2016,january,678
85,Archer Heights,,,,75818,2016,january,6922
86,Austin,,,,21272,2016,january,1984
87,Austin-Irving,,,,118020,2016,january,9778
88,Avalon,,,,47702,2016,january,4274
89,Back of the Yards,,,,39502,2016,january,3222
90,Beverly,,,,62264,2016,january,4749
91,Bezazian,,,,115177,2016,january,9056
92,Blackstone,,,,100420,2016,january,8200
93,Brainerd,,,,13258,2016,january,1023
94,Brighton Park,,,,59178,2016,january,4937
95,Bucktown-Wicker Park,,,,123454,2016,january,10498
96,Budlong Woods,,,,102830,2016,january,8294
97,Canaryville,,,,22528,2016,january,1747
98,Chicago Bee,,,,15002,2016,january,1239
99,Chicago Lawn,,,,37448,2016,january,3006
100,Chinatown,,,,139865,2016,january,12306
101,Clearing,,,,41732,2016,january,3416
102,Coleman,,,,42340,2016,january,3187
103,"Daley, Richard J. - Bridgeport",,,,74356,2016,january,6126
104,"Daley, Richard M. - W Humboldt",,,,42352,2016,january,3705
105,Douglass,,,,19343,2016,january,1549
106,Dunning,,,,63134,2016,january,4948
107,Edgebrook,,,,102567,2016,january,8288
108,Edgewater,,,,184583,2016,january,15197
109,Gage Park,,,,21873,2016,january,1655
110,Galewood-Mont Clare,,,,12195,2016,january,727
111,Garfield Ridge,,,,61834,2016,january,4599
112,Greater Grand Crossing,,,,25993,2016,january,2143
113,Hall,,,,15817,2016,january,1420
114,Harold Washington Library Center,,,,670077,2016,january,54279
115,Hegewisch,,,,28835,2016,january,2591
116,Humboldt Park,,,,70210,2016,january,5914
117,Independence,,,,0,2016,january,0
118,Jefferson Park,,,,95365,2016,january,7867
119,Jeffery Manor,,,,12344,2016,january,800
120,Kelly,,,,11307,2016,january,772
121,King,,,,32994,2016,january,2389
122,Legler Regional,,,,16029,2016,january,1347
123,Lincoln Belmont,,,,156842,2016,january,12539
124,Lincoln Park,,,,111387,2016,january,8095
125,Little Village,,,,68243,2016,january,6099
126,Logan Square,,,,127151,2016,january,9726
127,Lozano,,,,61126,2016,january,5591
128,Manning,,,,31008,2016,january,2137
129,Mayfair,,,,59682,2016,january,4661
130,McKinley Park,,,,73007,2016,january,5696
131,Merlo,,,,96756,2016,january,7410
132,Mount Greenwood,,,,68918,2016,january,5297
133,Near North,,,,114311,2016,january,8783
134,North Austin,,,,19702,2016,january,1396
135,North Pulaski,,,,45763,2016,january,3415
136,Northtown,,,,100530,2016,january,7994
137,Oriole Park,,,,79077,2016,january,6803
138,Portage-Cragin,,,,86307,2016,january,7196
