branch	address	city	zip code	ytd	year	month	circulation	date
Roden	6083 N. Northwest Highway	Chicago	60631.0	84755	2011	january	6336	2011-01-01
Rogers Park	6907 N. Clark St.	Chicago	60626.0	190842	2011	january	10537	2011-01-01
Roosevelt	1101 W. Taylor St.	Chicago	60607.0	89642	2011	january	6357	2011-01-01
Scottsdale	4101 W. 79th St.	Chicago	60652.0	59737	2011	january	4475	2011-01-01
Sherman Park	5440 S. Racine Ave.	Chicago	60609.0	19818	2011	january	987	2011-01-01
South Chicago	9055 S. Houston Ave.	Chicago	60617.0	54168	2011	january	3791	2011-01-01
South Shore	2505 E. 73rd St.	Chicago	60649.0	41954	2011	january	2620	2011-01-01
Sulzer Regional	4455 N. Lincoln Ave.	Chicago	60625.0	619734	2011	january	50375	2011-01-01
Thurgood Marshall	7506 S. Racine Ave.	Chicago	60620.0	39535	2011	january	2998	2011-01-01
Toman	2708 S. Pulaski Rd.	Chicago	60623.0	135191	2011	january	9018	2011-01-01
Uptown	929 W. Buena Ave.	Chicago	60613.0	109341	2011	january	7374	2011-01-01
Vodak-East Side	3710 E. 106th St.	Chicago	60617.0	72016	2011	january	5965	2011-01-01
Walker	11071 S. Hoyne Ave.	Chicago	60643.0	47634	2011	january	3168	2011-01-01
Water Works	163 E. Pearson St.	Chicago	60611.0	45047	2011	january	2609	2011-01-01
West Belmont	3104 N. Narragansett Ave.	Chicago	60634.0	123909	2011	january	8889	2011-01-01
West Chicago Avenue	4856 W. Chicago Ave.	Chicago	60651.0	22091	2011	january	1277	2011-01-01
West Englewood	1745 W. 63rd St.	Chicago	60636.0	23258	2011	january	1522	2011-01-01
West Lawn	4020 W. 63rd St.	Chicago	60629.0	94922	2011	january	7606	2011-01-01
West Pullman	830 W. 119th St.	Chicago	60643.0	40144	2011	january	3312	2011-01-01
West Town	1625 W. Chicago Ave.	Chicago	60622.0	122088	2011	january	9030	2011-01-01
Whitney M. Young, Jr.	7901 S. King Dr.	Chicago	60619.0	37399	2011	january	2588	2011-01-01
Woodson Regional	9525 S. Halsted St.	Chicago	60628.0	125056	2011	january	10564	2011-01-01
Wrightwood-Ashburn	8530 S. Kedzie Ave.	Chicago	60652.0	42257	2011	january	3062	2011-01-01
Albany Park				135858	2016	january	10905	2016-01-01
Altgeld				5864	2016	january	678	2016-01-01
Archer Heights				75818	2016	january	6922	2016-01-01
Austin				21272	2016	january	1984	2016-01-01
Austin-Irving				118020	2016	january	9778	2016-01-01
Avalon				47702	2016	january	4274	2016-01-01
Back of the Yards				39502	2016	january	3222	2016-01-01
Beverly				62264	2016	january	4749	2016-01-01
Bezazian				115177	2016	january	9056	2016-01-01
Blackstone				100420	2016	january	8200	2016-01-01
Brainerd				13258	2016	january	1023	2016-01-01
Brighton Park				59178	2016	january	4937	2016-01-01
Bucktown-Wicker Park				123454	2016	january	10498	2016-01-01
Budlong Woods				102830	2016	january	8294	2016-01-01
Canaryville				22528	2016	january	1747	2016-01-01
Chicago Bee				15002	2016	january	1239	2016-01-01
Chicago Lawn				37448	2016	january	3006	2016-01-01
Chinatown				139865	2016	january	12306	2016-01-01
Clearing				41732	2016	january	3416	2016-01-01
Coleman				42340	2016	january	3187	2016-01-01
Daley, Richard J. - Bridgeport				74356	2016	january	6126	2016-01-01
Daley, Richard M. - W Humboldt				42352	2016	january	3705	2016-01-01
Douglass				19343	2016	january	1549	2016-01-01
Dunning				63134	2016	january	4948	2016-01-01
Edgebrook				102567	2016	january	8288	2016-01-01
Edgewater				184583	2016	january	15197	2016-01-01
Gage Park				21873	2016	january	1655	2016-01-01
Galewood-Mont Clare				12195	2016	january	727	2016-01-01
Garfield Ridge				61834	2016	january	4599	2016-01-01
Greater Grand Crossing				25993	2016	january	2143	2016-01-01
Hall				15817	2016	january	1420	2016-01-01
Harold Washington Library Center				670077	2016	january	54279	2016-01-01
Hegewisch				28835	2016	january	2591	2016-01-01
Humboldt Park				70210	2016	january	5914	2016-01-01
Independence				0	2016	january	0	2016-01-01
Jefferson Park				95365	2016	january	7867	2016-01-01
Jeffery Manor				12344	2016	january	800	2016-01-01
Kelly				11307	2016	january	772	2016-01-01
King				32994	2016	january	2389	2016-01-01
Legler Regional				16029	2016	january	1347	2016-01-01
Lincoln Belmont				156842	2016	january	12539	2016-01-01
Lincoln Park				111387	2016	january	8095	2016-01-01
Little Village				68243	2016	january	6099	2016-01-01
Logan Square				127151	2016	january	9726	2016-01-01
Lozano				61126	2016	january	5591	2016-01-01
Manning				31008	2016	january	2137	2016-01-01
Mayfair				59682	2016	january	4661	2016-01-01
McKinley Park				73007	2016	january	5696	2016-01-01
Merlo				96756	2016	january	7410	2016-01-01
Mount Greenwood				68918	2016	january	5297	2016-01-01
Near North				114311	2016	january	8783	2016-01-01
North Austin				19702	2016	january	1396	2016-01-01
North Pulaski				45763	2016	january	3415	2016-01-01
Northtown				100530	2016	january	7994	2016-01-01
Oriole Park				79077	2016	january	6803	2016-01-01
Portage-Cragin				86307	2016	january	7196	2016-01-01
Pullman				16344	2016	january	1314	2016-01-01
Roden				73599	2016	january	6067	2016-01-01
Rogers Park				131222	2016	january	10541	2016-01-01
Roosevelt				62700	2016	january	4776	2016-01-01
Scottsdale				35488	2016	january	2846	2016-01-01
Sherman Park				10521	2016	january	819	2016-01-01
South Chicago				30219	2016	january	2356	2016-01-01
South Shore				38129	2016	january	2704	2016-01-01
Sulzer Regional				412021	2016	january	38192	2016-01-01
Thurgood Marshall				31240	2016	january	2444	2016-01-01
Toman				70387	2016	january	6443	2016-01-01
Uptown				87270	2016	january	7473	2016-01-01
Vodak-East Side				49351	2016	january	4054	2016-01-01
Walker				23499	2016	january	1867	2016-01-01
Water Works				42264	2016	january	3109	2016-01-01
West Belmont				84081	2016	january	6911	2016-01-01
West Chicago Avenue				16645	2016	january	1502	2016-01-01
West Englewood				16878	2016	january	1245	2016-01-01
West Lawn				59115	2016	january	5389	2016-01-01
West Pullman				26449	2016	january	2144	2016-01-01
West Town				75478	2016	january	6748	2016-01-01
Whitney M. Young, Jr.				23194	2016	january	1713	2016-01-01
Woodson Regional				74622	2016	january	7833	2016-01-01
Wrightwood-Ashburn				25190	2016	january	2208	2016-01-01
Altgeld				4297	2017	january	316	2017-01-01
Garfield Ridge				61434	2017	january	5079	2017-01-01
Rogers Park				126146	2017	january	9954	2017-01-01
Merlo				95477	2017	january	8128	2017-01-01
Legler Regional				12520	2017	january	1357	2017-01-01
King				28927	2017	january	2746	2017-01-01
North Austin				17845	2017	january	1518	2017-01-01
Uptown				83125	2017	january	6838	2017-01-01
Wrightwood-Ashburn				22473	2017	january	2068	2017-01-01
Harold Washington Library Center				634570	2017	january	52985	2017-01-01
Toman				65020	2017	january	5869	2017-01-01
West Belmont				81816	2017	january	7802	2017-01-01
Daley, Richard J. - Bridgeport				66355	2017	january	5851	2017-01-01
Sherman Park				9228	2017	january	910	2017-01-01
Coleman				40095	2017	january	3615	2017-01-01
